epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.342,2.98183,11.1666,2.27495,0.00526,0.94118,0.19948,0.08567,2.20619,9.2956,2.05464,0.00034,0.00034,0.00034
2,494.55,2.59849,9.20461,2.18616,0.00535,0.95798,0.04244,0.02087,2.12273,9.02644,2.06369,0.0006307,0.0006307,0.0006307
3,696.265,2.70961,8.24897,2.24749,0.0054,0.96639,0.07037,0.01989,2.50695,8.62616,2.20325,0.00085012,0.00085012,0.00085012
4,891.288,2.69483,7.58598,2.29335,1,0.35121,0.73729,0.45602,2.53117,7.29592,2.25121,0.00099826,0.00099826,0.00099826
5,1081.93,2.68109,6.58345,2.27228,0.78005,0.44704,0.71677,0.41081,2.66005,6.18546,2.27997,0.00107512,0.00107512,0.00107512
6,1272.05,2.58257,6.04119,2.19497,0.82755,0.68556,0.82118,0.46875,2.84716,5.37037,2.32934,0.00101,0.00101,0.00101
7,1456.07,2.49241,5.68235,2.18133,0.8893,0.7395,0.86145,0.52707,2.48228,4.19831,2.18733,0.000812,0.000812,0.000812
8,1891.87,2.57017,5.39859,2.23063,0.81451,0.81183,0.88705,0.55038,2.5675,3.7592,2.2997,0.000614,0.000614,0.000614
9,2342.87,2.4478,5.21217,2.20483,0.86594,0.83193,0.90278,0.57058,2.33973,3.37652,2.15513,0.000416,0.000416,0.000416
10,2771.72,2.3945,4.79963,2.11265,0.93999,0.83193,0.90893,0.57824,2.40318,3.21156,2.15587,0.000218,0.000218,0.000218
