epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.833,1.50715,3.14596,1.16088,0.0054,0.96639,0.74278,0.33976,1.12411,3.17292,1.0089,0.00034,0.00034,0.00034
2,282.153,1.32793,1.88501,1.10478,0.00545,0.97479,0.26597,0.14017,1.12848,3.03343,1.04896,0.0006307,0.0006307,0.0006307
3,436.509,1.34792,1.76381,1.13874,0.01154,0.88235,0.38505,0.22659,1.35974,2.77389,1.15618,0.00085012,0.00085012,0.00085012
4,604.021,1.29552,1.591,1.1788,1,0.44919,0.89145,0.55252,1.2869,2.30594,1.16976,0.00099826,0.00099826,0.00099826
5,900.767,1.24727,1.44451,1.12596,0.94624,0.8875,0.92737,0.56451,1.32836,1.67075,1.18078,0.00107512,0.00107512,0.00107512
6,1079.08,1.28295,1.39099,1.1359,0.96567,0.85714,0.93246,0.56204,1.3583,1.26682,1.19899,0.00101,0.00101,0.00101
7,1254.28,1.2325,1.23693,1.10505,0.95722,0.95798,0.96276,0.61655,1.24967,0.95974,1.15826,0.000812,0.000812,0.000812
8,1433.09,1.20476,1.18613,1.09127,0.97389,0.94033,0.96704,0.58667,1.29758,0.93299,1.17914,0.000614,0.000614,0.000614
9,1632.94,1.15122,1.10413,1.0779,0.95698,0.93463,0.97462,0.58839,1.22292,0.8921,1.13457,0.000416,0.000416,0.000416
10,1813.25,1.12674,1.0578,1.05742,0.98082,0.93277,0.9806,0.62692,1.16777,0.83362,1.09947,0.000218,0.000218,0.000218
